City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
1200,Punta Arenas,CL,2020-03-03 01:22:30,-53.15,-70.92,53.6,71,40,5.82
1201,Vostok,RU,2020-03-03 01:26:38,46.49,135.88,20.46,93,100,1.77
1202,Arak,IR,2020-03-03 01:26:39,34.09,49.69,30.45,86,0,5.32
1203,Vaini,TO,2020-03-03 01:22:29,-21.2,-175.2,86.0,70,20,10.29
1204,Vardo,NO,2020-03-03 01:21:45,70.37,31.11,27.19,78,97,28.3
1205,Tazovskiy,RU,2020-03-03 01:26:39,67.47,78.7,14.31,90,95,16.02
1206,Bredasdorp,ZA,2020-03-03 01:22:37,-34.53,20.04,69.01,93,23,4.7
1207,Vaini,TO,2020-03-03 01:22:29,-21.2,-175.2,86.0,70,20,10.29
1208,Mar Del Plata,AR,2020-03-03 01:18:21,-38.0,-57.56,78.01,83,33,6.93
1209,Zbarazh,UA,2020-03-03 01:26:40,49.66,25.78,38.55,82,50,5.75
1210,Itanagar,IN,2020-03-03 01:26:40,27.1,93.62,57.67,87,0,2.77
1211,Atuona,PF,2020-03-03 01:22:42,-9.8,-139.03,82.22,74,28,16.08
1212,Atuona,PF,2020-03-03 01:22:42,-9.8,-139.03,82.22,74,28,16.08
1213,Kodiak,US,2020-03-03 01:22:58,57.79,-152.41,30.2,30,1,21.92
1214,Ushuaia,AR,2020-03-03 01:18:58,-54.8,-68.3,53.6,58,75,34.45
1215,Ushuaia,AR,2020-03-03 01:18:58,-54.8,-68.3,53.6,58,75,34.45
1216,Mataura,NZ,2020-03-03 01:22:36,-46.19,168.86,61.0,67,100,15.99
1217,Punta Arenas,CL,2020-03-03 01:22:30,-53.15,-70.92,53.6,71,40,5.82
1218,Lagoa,PT,2020-03-03 01:23:01,39.05,-27.98,63.68,87,93,25.68
1219,Hobart,AU,2020-03-03 01:21:43,-42.88,147.33,63.0,45,75,6.93
1220,Saint-Philippe,RE,2020-03-03 01:23:12,-21.36,55.77,78.8,83,20,3.36
1221,New Norfolk,AU,2020-03-03 01:18:15,-42.78,147.06,64.0,45,75,4.7
1222,Georgetown,MY,2020-03-03 01:20:17,5.41,100.34,80.6,78,20,6.93
1223,Vaini,TO,2020-03-03 01:22:29,-21.2,-175.2,86.0,70,20,10.29
1224,Punta Arenas,CL,2020-03-03 01:22:30,-53.15,-70.92,53.6,71,40,5.82
1225,Airai,TL,2020-03-03 01:22:36,-8.93,125.41,75.67,73,98,2.42
1226,Zhadovka,RU,2020-03-03 01:26:44,53.57,46.95,30.97,79,100,9.6
1227,Hasaki,JP,2020-03-03 01:22:56,35.73,140.83,55.99,58,75,8.05
1228,Barrow,US,2020-03-03 01:19:54,71.29,-156.79,-29.2,91,75,8.05
1229,Byron Bay,AU,2020-03-03 01:23:04,-28.65,153.62,89.01,88,95,12.75
1230,Geraldton,AU,2020-03-03 01:23:07,-28.77,114.6,86.0,35,0,27.51
1231,Gibara,CU,2020-03-03 01:26:45,21.11,-76.13,73.4,78,82,12.75
1232,Dawson Creek,CA,2020-03-03 01:26:45,55.77,-120.24,37.4,47,20,14.99
1233,Punta Arenas,CL,2020-03-03 01:22:30,-53.15,-70.92,53.6,71,40,5.82
1234,Yellowknife,CA,2020-03-03 01:23:25,62.46,-114.35,-2.0,70,75,4.7
1235,Atuona,PF,2020-03-03 01:22:42,-9.8,-139.03,82.22,74,28,16.08
1236,Hoopstad,ZA,2020-03-03 01:26:46,-27.83,25.91,65.88,64,12,5.28
1237,Punta Arenas,CL,2020-03-03 01:22:30,-53.15,-70.92,53.6,71,40,5.82
1238,Butaritari,KI,2020-03-03 01:23:19,3.07,172.79,82.74,76,100,20.56
1239,Atasu,KZ,2020-03-03 01:25:13,48.68,71.64,16.72,94,43,10.04
1240,Marfino,RU,2020-03-03 01:26:47,55.7,37.38,39.0,97,90,6.71
1241,Coquimbo,CL,2020-03-03 01:22:49,-29.95,-71.34,60.8,87,90,5.82
1242,Avarua,CK,2020-03-03 01:22:40,-21.21,-159.78,84.2,83,10,6.93
1243,Arraial Do Cabo,BR,2020-03-03 01:22:41,-22.97,-42.03,74.1,89,100,16.53
1244,Ushuaia,AR,2020-03-03 01:18:58,-54.8,-68.3,53.6,58,75,34.45
1245,Vardo,NO,2020-03-03 01:21:45,70.37,31.11,27.19,78,97,28.3
