City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
114,Hermanus,ZA,69.01,Clear,-34.42,19.23,Misty Waves Boutique Hotel
115,Rudbar,AF,76.87,Clear,30.15,62.6,
117,Prince Rupert,CA,41.0,Clouds,54.32,-130.32,Crest Hotel
118,Tasiilaq,GL,26.6,Snow,65.61,-37.64,The Red House
119,Nelson Bay,AU,75.0,Clouds,-32.72,152.15,Mantra Nelson Bay
120,Hermanus,ZA,69.01,Clear,-34.42,19.23,Misty Waves Boutique Hotel
123,Jalu,LY,60.53,Clear,29.03,21.55,Jalu Hotel
124,Zheleznogorsk-Ilimskiy,RU,21.02,Clouds,56.58,104.12,"Gostinitsa ""Magnetit"""
125,Komsomolskiy,UZ,59.0,Clouds,40.43,71.72,"Hotel ""Ikathouse"""
126,Port Moresby,PG,91.4,Clouds,-9.44,147.18,Lamana Hotel
127,Aktau,KZ,39.2,Clouds,43.65,51.2,Silk Way Hotel
128,Punta Arenas,CL,50.0,Clouds,-53.15,-70.92,Hotel Dreams Del Estrecho
129,Rio Grande,BR,70.0,Clear,-32.03,-52.1,Swan Express Rio Grande
133,Geraldton,AU,96.8,Clear,-28.77,114.6,Broadwater Mariner Resort
134,Meulaboh,ID,83.34,Clouds,4.14,96.13,Kost Pria
135,Sayyan,YE,62.71,Clear,15.17,44.32,الاستاذة مروى اليوسفي
136,Bandarbeyla,SO,77.67,Clouds,9.49,50.81,REER XOOSHLE GROUP
138,Xuddur,SO,79.34,Clouds,4.12,43.89,Banjanay Hotel
139,Punta Arenas,CL,50.0,Clouds,-53.15,-70.92,Hotel Dreams Del Estrecho
140,Qandala,SO,76.55,Clouds,11.47,49.87,
141,Olhao,PT,53.01,Clouds,37.03,-7.84,Real Marina Hotel & Spa
142,Lompoc,US,50.0,Clear,34.64,-120.46,Holiday Inn Express Lompoc
144,Hermanus,ZA,69.01,Clear,-34.42,19.23,Misty Waves Boutique Hotel
145,Ahipara,NZ,80.01,Clouds,-35.17,173.17,Ahipara Holiday Park
146,Bluff,NZ,60.01,Clouds,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
